title,genres,overview
A Golden Christmas,"Family, Romance, Comedy","After a magical summer together, a nine-year-old boy whispers his heart into the ear of a best friend. With a loyal, golden dog by their side, the boy and girl bury a time capsule of keepsakes then they go their separate ways. Years later, looking for a fresh start, a man and woman each return to the place they felt most at home as a child. But a comedic case of unknown identity has them competing for the same childhood memories, and Christmas escapades ensue. For the sake of their happiness, they must discover their common past before they turn each other s lives completely upside-down. Can a golden dog lead them home?"
Who's Your Daddy?,Comedy,"An adopted Ohio high school senior discovers he is the inherited heir to a porn empire. Dropped into a bitter power struggle, his new flock of beautiful co-workers come to his aid."
Shipwrecked,"Adventure, Family",A young Norwegian boy in 1850s England goes to work as a cabin boy and discovers some of his shipmates are actually pirates.
Tu£sday,"Crime, Mystery","Four career criminals, two glamorous bank workers and one over-the-hill has-been all happen to be planning a robbery on a London bank on the same day, by sheer coincidence. The two investigating detectives must try and deduce how these seemingly unrelated people came to be in the area and which were responsible for the lifting a priceless emerald."
Uncle P,"Comedy, Family",Rapper/multi-millionaire P. Miller becomes the guardian of his sister's three children - all of whom need a father figure in their lives.
The Hunter,"Drama, Thriller, Adventure","Martin, a mercenary, is sent from Europe by an anonymous biotech company to the Tasmanian wilderness on a hunt for the last Tasmanian tiger."
The Crowd Roars,"Action, Drama","Famous motor-racing champion Joe Greer returns to his hometown to compete in a local race. He discovers his younger brother has aspirations to become a racing champion, and during the race Joe loses his nerve when another driver is killed, leaving his brother to win. Joe's luck takes a plunge whilst his brother rises to height of fame."
Michael Jackson's Thriller,"Horror, Music",A night at the movies turns into a nightmare when Michael and his date are attacked by a hoard of bloody-thirsty zombies.
Ghadi,"Comedy, Drama, Family","In a traditional neighborhood of a small Lebanese coastal town, Leba (Georges Khabbaz) is a music instructor. Social pressure leads him to get married and have children. To the dismay of his family, neighbors, and friends, he has a first girl and then a second one. His beloved wife Lara, a French literature teacher, is pregnant for the third time and yes, it's a BOY! However, medical tests show that the boy will have special needs. Will Leba and Nay keep the baby? Will he become a burden on the family; or its pride and joy?"
The Great White Silence,Documentary,Herbert Ponting travelled to Antarctica as part of Captain Scott's ill-fated South pole expedition and shot the footage that makes up this extraordinary documentary.
А поутру они проснулись,"Drama, Comedy",Unknown
Before I Fall,"Mystery, Drama, Thriller","Samantha Kingston has everything. Then, everything changes. After one fateful night, she wakes up with no future at all. Trapped into reliving the same day over and over, she begins to question just how perfect her life really was."
Wonderland,Documentary,"Welcome to Levittown, New York - America's first cookie-cutter community. From wife-swapping to bomb shelters, to flag burning, Wonderland takes a hilarious and unforgettable look at life in a town where thousands of identical-looking houses were assigned to their residents in alphabetical order."
The Derby Stallion,"Drama, Family",An alcoholic former horse-trainer perceives in a fifteen-year-old boy a unique gift of horsemanship and makes it possible for the boy to conceive his dream and pursue it.
